Date,BTC 指數,WTI 原油,Brent 布蘭特原油,金(每百oz),銅(每磅),天然氣 (MMBtu)
193,12/15/2022,-0.0225,-0.015300000000000001,-0.0182,-0.0167,-0.029300000000000003,0.0806
192,12/14/2022,0.0031,0.0248,0.024700000000000003,-0.0036,0.0092,-0.0756
191,12/13/2022,0.034,0.029900000000000003,0.0339,0.018000000000000002,0.010700000000000001,0.051500000000000004
190,12/12/2022,0.0034000000000000002,0.0298,0.0245,-0.0102,-0.0202,0.0533
189,12/9/2022,-0.005,-0.0062,-0.0007000000000000001,0.005,-0.0012,0.0464
188,12/8/2022,0.0215,-0.0077,-0.013300000000000001,0.0019,0.006500000000000001,0.0409
187,12/7/2022,-0.0097,-0.030600000000000002,-0.0279,0.0086,0.0115,0.0454
186,12/6/2022,0.0025,-0.0355,-0.041100000000000005,0.0006,0.0058,-0.0196
185,12/5/2022,-0.0053,-0.038900000000000004,-0.0344,-0.0152,-0.015300000000000001,-0.1189
184,12/2/2022,0.0088,-0.0154,-0.0152,-0.0029,0.0089,-0.0702
183,12/1/2022,-0.0105,0.0083,0.0168,0.0301,0.022400000000000003,-0.0281
182,11/30/2022,0.0348,0.0296,0.0285,-0.0019,0.027000000000000003,-0.0431
181,11/29/2022,0.0158,0.0124,-0.0019,0.0046,0.0051,0.075
180,11/28/2022,-0.0182,0.0125,-0.0053,-0.0076,-0.0044,-0.0454
179,11/25/2022,-0.0009,-0.0215,-0.0202,0.0045000000000000005,0.0026,-0.039599999999999996
178,11/24/2022,0.0,0.0,-0.0008,0.0,0.0,0.0
177,11/23/2022,0.0276,-0.0379,-0.034,0.0032,0.001,0.0751
176,11/22/2022,0.0176,0.0152,0.0104,0.0002,0.012,0.0004
175,11/21/2022,-0.0509,-0.0044,-0.0019,-0.0079,-0.0168,0.0724
174,11/18/2022,-0.0036,-0.019299999999999998,-0.024399999999999998,-0.0048,-0.015300000000000001,-0.0104
173,11/17/2022,0.0072,-0.0472,-0.0337,-0.0073,-0.0229,0.0269
172,11/16/2022,-0.0138,-0.0154,-0.010700000000000001,-0.0004,-0.012199999999999999,0.0271
171,11/15/2022,0.0319,0.012199999999999999,0.0077,0.0005,-0.0034999999999999996,0.0169
170,11/14/2022,-0.0236,-0.0354,-0.0301,0.0040999999999999995,-0.0207,0.0091
169,11/11/2022,-0.0746,0.028399999999999998,0.0245,0.0088,0.0405,-0.0594
168,11/10/2022,0.1076,0.0074,0.0109,0.022400000000000003,0.015600000000000001,0.061799999999999994
167,11/9/2022,-0.1266,-0.0353,-0.0288,-0.0013,0.004699999999999999,-0.0455
166,11/8/2022,-0.1281,-0.0319,-0.0265,0.0203,0.0217,-0.1234
165,11/7/2022,-0.0141,-0.0089,-0.0066,0.0023,-0.022799999999999997,0.0816
164,11/4/2022,0.0415,0.049100000000000005,0.0404,0.027000000000000003,0.073,0.0687
163,11/3/2022,0.0001,-0.020499999999999997,-0.015600000000000001,-0.0115,-0.012,-0.0479
162,11/2/2022,-0.0102,0.0183,0.0158,0.0004,-0.0012,0.0925
161,11/1/2022,0.003,0.021,-0.0019,0.0055000000000000005,0.0285,-0.1063
160,10/31/2022,-0.0126,-0.015700000000000002,-0.009899999999999999,-0.0024,-0.0159,0.1116
159,10/28/2022,0.0054,-0.013300000000000001,-0.0123,-0.012199999999999999,-0.026099999999999998,0.0917
158,10/27/2022,-0.012,0.0132,0.0132,-0.002,-0.0072,-0.0779
157,10/26/2022,0.0304,0.029900000000000003,0.0229,0.006500000000000001,0.0426,-0.0012
156,10/25/2022,0.0416,0.0087,0.0028000000000000004,0.0024,-0.0098,0.0766
155,10/24/2022,0.0059,-0.0055000000000000005,-0.0026,-0.0012,-0.0127,0.0473
154,10/21/2022,0.008,-0.0109,0.0121,0.011399999999999999,0.018600000000000002,-0.0774
153,10/20/2022,-0.0070999999999999995,0.005,-0.0003,0.0016,0.0275,-0.0192
152,10/19/2022,-0.0027,0.032400000000000005,0.026099999999999998,-0.0128,-0.0132,-0.050499999999999996
151,10/18/2022,-0.014499999999999999,-0.031400000000000004,-0.0175,-0.0048,-0.0158,-0.0433
150,10/17/2022,0.019,-0.0018,-0.0001,0.0088,-0.0023,-0.073
149,10/14/2022,-0.0123,-0.0401,-0.0316,-0.016399999999999998,-0.005,-0.0437
148,10/13/2022,0.013600000000000001,0.0209,0.0227,0.0003,0.0045000000000000005,0.04650000000000001
147,10/12/2022,0.0074,-0.0236,-0.0197,-0.0049,-0.010700000000000001,-0.024700000000000003
146,10/11/2022,-0.011699999999999999,-0.0197,-0.02,0.0060999999999999995,0.0091,0.024700000000000003
145,10/10/2022,-0.012199999999999999,-0.016399999999999998,-0.0178,-0.019299999999999998,0.0129,-0.0475
144,10/7/2022,-0.028399999999999998,0.0463,0.0364,-0.006,-0.0174,-0.0327
143,10/6/2022,-0.0066,0.0078000000000000005,0.011200000000000002,0.0001,-0.015700000000000002,0.006
142,10/5/2022,-0.0019,0.014199999999999999,0.017,-0.0053,0.003,0.013500000000000002
141,10/4/2022,0.0321,0.034,0.0326,0.0167,0.0232,0.0552
140,10/3/2022,0.0049,0.0508,0.0102,0.0171,-0.0007000000000000001,-0.0447
139,9/30/2022,0.0023,-0.0217,-0.006,0.0019,-0.0016,-0.0158
138,9/29/2022,-0.0064,-0.0113,-0.009300000000000001,-0.0008,0.0106,0.0009
137,9/28/2022,0.024900000000000002,0.0454,0.0347,0.0194,0.0176,0.0321
136,9/27/2022,-0.005699999999999999,0.0231,0.026000000000000002,0.0015,0.0029,-0.037200000000000004
135,9/26/2022,0.0159,-0.026099999999999998,-0.0246,-0.0131,-0.0174,0.0109
134,9/23/2022,-0.024399999999999998,-0.058600000000000006,-0.048799999999999996,-0.0149,-0.037000000000000005,-0.0375
133,9/22/2022,0.016399999999999998,0.0066,0.006999999999999999,0.0034999999999999996,-0.0039000000000000003,-0.0929
132,9/21/2022,-0.0015,-0.018000000000000002,-0.0088,0.0027,-0.0102,0.008
131,9/20/2022,-0.0233,-0.015,-0.0151,-0.0042,-0.0027,-0.0045000000000000005
130,9/19/2022,-0.0083,0.0073,0.0070999999999999995,-0.003,-0.001,-0.0015
129,9/16/2022,-0.0089,0.0001,0.005600000000000001,0.0034999999999999996,0.0106,-0.0696
128,9/15/2022,-0.0064,-0.038900000000000004,-0.0353,-0.018600000000000002,-0.0062,-0.0907
127,9/14/2022,-0.0163,0.013300000000000001,0.009899999999999999,-0.0038,-0.01,0.0955
126,9/13/2022,-0.0998,-0.0054,-0.0089,-0.0124,-0.0124,0.0042
125,9/12/2022,0.0535,0.0113,0.0124,0.006999999999999999,0.0124,0.031200000000000002
124,9/9/2022,0.092,0.0382,0.0406,0.005,0.0126,0.0102
123,9/8/2022,0.0195,0.019299999999999998,0.013000000000000001,-0.0043,0.0281,0.009300000000000001
122,9/7/2022,0.0105,-0.058499999999999996,-0.053399999999999996,0.0084,-0.009000000000000001,-0.0379
121,9/6/2022,-0.056299999999999996,0.0001,-0.030899999999999997,-0.0054,0.0138,-0.0758
120,9/5/2022,0.0,0.0,0.0288,0.0,0.0,0.0
119,9/2/2022,-0.0015,0.003,0.0070999999999999995,0.0077,0.002,-0.0528
118,9/1/2022,-0.0147,-0.0334,-0.0437,-0.0098,-0.03,0.0147
117,8/31/2022,0.015700000000000002,-0.0231,-0.0288,-0.0058,-0.0075,0.009399999999999999
116,8/30/2022,-0.0113,-0.056900000000000006,-0.056600000000000004,-0.0079,-0.0187,-0.0338
115,8/29/2022,-0.027999999999999997,0.0416,0.0398,-0.0001,-0.0233,0.0060999999999999995
114,8/26/2022,-0.04190000000000001,0.0058,0.0165,-0.012199999999999999,-0.0005,-0.0085
113,8/25/2022,-0.0052,-0.0253,-0.0187,0.0054,0.015,0.0048
112,8/24/2022,0.0075,0.012199999999999999,0.009899999999999999,0.0006,-0.013999999999999999,0.0148
111,8/23/2022,0.021,0.0382,0.038,0.0072,0.012,-0.0516
110,8/22/2022,-0.012,-0.006,-0.0025,-0.008100000000000001,-0.0036,0.0362
109,8/19/2022,-0.08960000000000001,0.003,0.0013,-0.0045000000000000005,0.009000000000000001,0.016
108,8/18/2022,0.0045000000000000005,0.0268,0.030899999999999997,-0.0029,0.013300000000000001,-0.0060999999999999995
